group_id,original_filename,original_path,working_filename,working_path,original_sample_rate,target_sample_rate,duration_seconds,working_duration_seconds,peak_amplitude,peak_dbfs,rms_dbfs,channels,output_format,output_subtype,preparation_status,preparation_error,notes
PERF-001,SDNG_SNDG_Gangsa_ENSEMBLE01.mp3,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\raw\ensembles\SDNG_SNDG_Gangsa_ENSEMBLE01.mp3,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,44100,44100,290.847347,290.847347,0.61007476,-4.2923,-21.6116,mono,wav,PCM_16,completed,,Original file preserved; standardized working copy created.
PERF-002,SDNG_SNDG_Gangsa_ENSEMBLE02.mp3,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\raw\ensembles\SDNG_SNDG_Gangsa_ENSEMBLE02.mp3,PERF-002_SDNG_SNDG_Gangsa_ENSEMBLE02.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-002_SDNG_SNDG_Gangsa_ENSEMBLE02.wav,44100,44100,108.982857,108.982857,0.59838045,-4.4605,-21.8377,mono,wav,PCM_16,completed,,Original file preserved; standardized working copy created.
PERF-003,SDNG_SNDG_Gangsa_ENSEMBLE03.mp3,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\raw\ensembles\SDNG_SNDG_Gangsa_ENSEMBLE03.mp3,PERF-003_SDNG_SNDG_Gangsa_ENSEMBLE03.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-003_SDNG_SNDG_Gangsa_ENSEMBLE03.wav,44100,44100,67.84,67.84,0.67504436,-3.4134,-19.8088,mono,wav,PCM_16,completed,,Original file preserved; standardized working copy created.
PERF-004,SDNG_SNDG_Gangsa_ENSEMBLE04.mp3,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\raw\ensembles\SDNG_SNDG_Gangsa_ENSEMBLE04.mp3,PERF-004_SDNG_SNDG_Gangsa_ENSEMBLE04.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-004_SDNG_SNDG_Gangsa_ENSEMBLE04.wav,44100,44100,123.663673,123.663673,0.55512381,-5.1122,-28.2671,mono,wav,PCM_16,completed,,Original file preserved; standardized working copy created.
PERF-005,SDNG_SNDG_Gangsa_ENSEMBLE05.mp3,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\raw\ensembles\SDNG_SNDG_Gangsa_ENSEMBLE05.mp3,PERF-005_SDNG_SNDG_Gangsa_ENSEMBLE05.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-005_SDNG_SNDG_Gangsa_ENSEMBLE05.wav,44100,44100,76.564898,76.564898,0.63280272,-3.9746,-25.585,mono,wav,PCM_16,completed,,Original file preserved; standardized working copy created.
