group_id,working_filename,working_path,duration_seconds,sample_rate,candidate_event_count,candidates_per_second,onset_delta,onset_wait,hop_length,backtrack_onsets,detection_plot,detection_status,detection_error
PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,290.847347,44100,235,0.807984,0.3,8,512,True,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\technical_review\ensemble_event_plots\PERF-001_candidate_events.png,completed,
PERF-002,PERF-002_SDNG_SNDG_Gangsa_ENSEMBLE02.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-002_SDNG_SNDG_Gangsa_ENSEMBLE02.wav,108.982857,44100,39,0.357854,0.3,8,512,True,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\technical_review\ensemble_event_plots\PERF-002_candidate_events.png,completed,
PERF-003,PERF-003_SDNG_SNDG_Gangsa_ENSEMBLE03.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-003_SDNG_SNDG_Gangsa_ENSEMBLE03.wav,67.84,44100,34,0.501179,0.3,8,512,True,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\technical_review\ensemble_event_plots\PERF-003_candidate_events.png,completed,
PERF-004,PERF-004_SDNG_SNDG_Gangsa_ENSEMBLE04.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-004_SDNG_SNDG_Gangsa_ENSEMBLE04.wav,123.663673,44100,214,1.7305,0.3,8,512,True,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\technical_review\ensemble_event_plots\PERF-004_candidate_events.png,completed,
PERF-005,PERF-005_SDNG_SNDG_Gangsa_ENSEMBLE05.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-005_SDNG_SNDG_Gangsa_ENSEMBLE05.wav,76.564898,44100,64,0.835892,0.3,8,512,True,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\technical_review\ensemble_event_plots\PERF-005_candidate_events.png,completed,
